0374427fda8b64f189cecbd2ef007ff0,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Hafez al-"" ""Israeli""]"
0374427fda8b64f189cecbd2ef002ea9,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"[""Lien Chan"" ""Taiwanese""]"
0374427fda8b64f189cecbd2ef0055ed,"State media quoted China 's top negotiator with Taipei , Tang Shubei , as telling a visiting group from Taiwan on Wednesday that it was time for the rivals to hold political talks .","[""Tang Shubei"" ""China""]"
0374427fda8b64f189cecbd2ef001e89,"A Florida restaurant paid 10,925 pounds ( $ 16,935 ) for the draft of "" Ai n't no telling "" , which Hendrix penned on a piece of London hotel stationery in late 1966 .","[""Hendrix"" ""London""]"
0374427fda8b64f189cecbd2ef00566e,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .","[""Lien"" ""Taiwanese""]"
0374427fda8b64f189cecbd2ef006daa,"Itamar Rabinovich , who as Israel 's ambassador to Washington conducted unfruitful negotiations with Syria , told Israel Radio it looked like Damascus wanted to talk rather than fight .","[""Itamar Rabinovich"" ""Israel""]"
0374427fda8b64f189cecbd2ef004773,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","[""Shen Guofang"" ""Taiwan""]"
0374427fda8b64f189cecbd2ef0059a7,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","[""Costas Simitis"" ""Greek""]"
0374427fda8b64f189cecbd2ef018a13,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .","[""Saddam Hussein"" ""Iraqi""]"
0374427fda8b64f189cecbd2ef0065e2,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","[""Costas Skandalidis"" ""Greek""]"
0374427fda8b64f189cecbd2ef001194,"A rare early handwritten draft of a song by U.S. guitar legend Jimi Hendrix was sold for almost $ 17,000 on Thursday at an auction of some of the late musician 's favourite possessions .","[""Jimi Hendrix"" ""U.S.""]"
0374427fda8b64f189cecbd2ef0028b9,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"[""Lien Chan"" ""China""]"
0374427fda8b64f189cecbd2ef014868,Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .,"[""Peres"" ""Israel""]"
0374427fda8b64f189cecbd2ef003cc2,"Speaking only hours after Chinese state media said the time was right to engage in political talks with Taiwan , Foreign Ministry spokesman Shen Guofang told Reuters : "" The necessary atmosphere for the opening of the talks has been disrupted by the Taiwan authorities . ""","[""Shen Guofang"" ""Chinese""]"
0374427fda8b64f189cecbd2ef016398,"Israeli Prime Minister Benjamin Netanyahu has accused opposition leader Peres , who he defeated in May elections , of trying to undermine his Likud government 's authority to conduct peace talks .","[""Peres"" ""Israeli""]"
0374427fda8b64f189cecbd2ef0086a1,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Assad"" ""Syrian""]"
0374427fda8b64f189cecbd2ef000f20,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . ""","[""Loyola de Palacio"" ""Spanish""]"
0374427fda8b64f189cecbd2ef0098a8,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""David Levy"" ""Syrian""]"
0374427fda8b64f189cecbd2ef00a59e,Tension has mounted since Israeli Prime Minister Benjamin Netanyahu took office in June vowing to retain the Golan Heights Israel captured from Syria in the 1967 Middle East war .,"[""Benjamin Netanyahu"" ""Israeli""]"
0374427fda8b64f189cecbd2ef01785f,Iraq 's Saddam meets Russia 's Zhirinovsky .,"[""Saddam"" ""Iraq""]"
0374427fda8b64f189cecbd2ef007213,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Hafez al-"" ""Syrian""]"
0374427fda8b64f189cecbd2ef00a0a2,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""David Levy"" ""Israeli""]"
0374427fda8b64f189cecbd2ef0125ba,Yasser Arafat will meet Shimon Peres in Gaza on Thursday after Palestinians said the right-wing Israeli government had barred the Palestinian leader from flying to the West Bank for talks with the former prime minister .,"[""Yasser Arafat"" ""Palestinians""]"
0374427fda8b64f189cecbd2ef010b62,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,"[""Arafat"" ""Palestinian""]"
0374427fda8b64f189cecbd2ef008cce,""" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , "" Israeli Foreign Minister David Levy told Israel Radio in an interview .","[""Assad"" ""Israeli""]"
0374427fda8b64f189cecbd2ef000ce4,Germany 's representative to the European Union 's veterinary committee Werner Zwingmann said on Wednesday consumers should buy sheepmeat from countries other than Britain until the scientific advice was clearer .,"[""Werner Zwingmann"" ""Germany""]"
