0374427fda8b64f189cecbd2ef0028b9,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"[""Lien Chan"" ""China""]",,,
0374427fda8b64f189cecbd2ef087fbd,David Prinosil ( Germany ) vs. qualifier,"[""David Prinosil"" ""Germany""]",has nationality,,
0374427fda8b64f189cecbd2ef072876,Carlos Moya ( Spain ) vs. Scott Humphries ( U.S. ),"[""Scott Humphries"" ""U.S.""]",has nationality,,
0374427fda8b64f189cecbd2ef096a2f,"( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie Spence , Terry Price ( Australia ) , Juan Carlos Pinero ( Spain ) ,","[""Terry Price"" ""Australia""]",has nationality,,
0374427fda8b64f189cecbd2ef0959d9,"( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie Spence , Terry Price ( Australia ) , Juan Carlos Pinero ( Spain ) ,","[""Pedro Linhart"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef0059a7,"The Greek socialist party 's executive bureau gave the green light to Prime Minister Costas Simitis to call snap elections , its general secretary Costas Skandalidis told reporters .","[""Costas Simitis"" ""Greek""]",has nationality,,
0374427fda8b64f189cecbd2ef0923f3,"67 Jeff Hawksworth , Padraig Harrington ( Ireland ) , Michael Welch , Thomas Gogele ( Germany ) , Paul McGinley ( Ireland ) ,","[""Paul McGinley"" ""Ireland""]",has nationality,,
0374427fda8b64f189cecbd2ef07f673,Carlos Costa ( Spain ) vs. Magnus Gustafsson ( Sweden ),"[""Carlos Costa"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef0c0260,"said Bertram , who also read out extracts from Lauck 's material praising Hitler as "" the greatest of all leaders "" and describing the Nazi slaughter of millions of Jews as a myth .","[""Hitler"" ""Nazi""]",,,
0374427fda8b64f189cecbd2ef002ea9,China on Thursday accused Taipei of spoiling the atmosphere for a resumption of talks across the Taiwan Strait with a visit to Ukraine by Taiwanese Vice President Lien Chan this week that infuriated Beijing .,"[""Lien Chan"" ""Taiwanese""]",has nationality,,
0374427fda8b64f189cecbd2ef08f5ca,"Des Smyth ( Ireland ) , David Carter , Lee Westwood , Greg Chalmers ( Australia ) , Miguel Angel Martin ( Spain ) ,","[""Miguel Angel Martin"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef000f20,"Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through "" dangerous generalisation . ""","[""Loyola de Palacio"" ""Spanish""]",has nationality,,
0374427fda8b64f189cecbd2ef03c17f,6 - MaliVai Washington ( U.S. ) beat Alex Corretja ( Spain ) 6-4,"[""MaliVai Washington"" ""Spain""]",,,
0374427fda8b64f189cecbd2ef018a13,"Iraqi President Saddam Hussein has told visiting Russian ultra-nationalist Vladimir Zhirinovsky that Baghdad wanted to maintain "" friendship and cooperation "" with Moscow , official Iraqi newspapers said on Thursday .","[""Saddam Hussein"" ""Iraqi""]",has nationality,,
0374427fda8b64f189cecbd2ef0984c2,"Looming in Sampras 's future is a likely third-round date with recent nemesis Mark Philippoussis , the rising Australian who took out Sampras in the third round of the Australian Open in January .","[""Sampras"" ""Australian""]",,,
0374427fda8b64f189cecbd2ef090533,"67 Jeff Hawksworth , Padraig Harrington ( Ireland ) , Michael Welch , Thomas Gogele ( Germany ) , Paul McGinley ( Ireland ) ,","[""Padraig Harrington"" ""Germany""]",,,
0374427fda8b64f189cecbd2ef04ec98,Zeng Yaqiong ( China ) beat Li Feng ( New Zealand ) 11-9 11-6,"[""Li Feng"" ""New Zealand""]",has nationality,,
0374427fda8b64f189cecbd2ef093bf4,"( Sweden ) , Paul Eales , David Williams , Andrew Coltart ,","[""David Williams"" ""Sweden""]",,,
0374427fda8b64f189cecbd2ef0abc80,"The sixth-ranked Ivanisevic , who lost in the final at Indianapolis to world number one Pete Sampras of the U.S. last Sunday , made a quick getaway after his loss but did say : "" Something was not there when I arrived ( in Toronto ) .","[""Pete Sampras"" ""U.S.""]",has nationality,,
0374427fda8b64f189cecbd2ef07b74e,8 - Jim Courier ( U.S. ) vs. Javier Sanchez ( Spain ),"[""Jim Courier"" ""U.S.""]",has nationality,,
0374427fda8b64f189cecbd2ef0762ab,David Wheaton ( U.S. ) vs. Kevin Kim ( U.S. ),"[""Kevin Kim"" ""U.S.""]",has nationality,,
0374427fda8b64f189cecbd2ef0b75f3,"He said ministry officials made him sign this a few weeks ago after he brought about a dozen copies from Jordan of a book by Edward Said , a prominent scholar at New York City 's Columbia University .","[""Edward Said"" ""New York City""]",lived in,,
0374427fda8b64f189cecbd2ef077648,Karim Alami ( Morocco ) vs. 11 - MaliVai Washington ( U.S. ),"[""MaliVai Washington"" ""U.S.""]",has nationality,,
0374427fda8b64f189cecbd2ef0621e0,Scott Draper ( Australia ) vs. Galo Blanco ( Spain ),"[""Galo Blanco"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef0c7a8a,Foreign Ministry spokesman Martin Erdmann said top Bonn diplomat Wolfgang Ischinger had been assured by senior Russian officials that the ultimatum to storm and take the Chechen capital of Grozny was not valid .,"[""Wolfgang Ischinger"" ""Russian""]",,,
0374427fda8b64f189cecbd2ef05b550,Alex Corretja ( Spain ) vs. Byron Black ( Zimbabwe ),"[""Alex Corretja"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef00566e,"China , which has long opposed all Taipei efforts to gain greater international recognition , was infuriated by a visit to Ukraine this week by Taiwanese Vice President Lien .","[""Lien"" ""Taiwanese""]",has nationality,,
0374427fda8b64f189cecbd2ef071a12,Carlos Moya ( Spain ) vs. Scott Humphries ( U.S. ),"[""Carlos Moya"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef014868,Palestinian officials said the Israeli government had barred Arafat from overflying Israel in a Palestinian helicopter to the West Bank in an attempt to bar the meeting with Peres .,"[""Peres"" ""Israel""]",lived in,,
0374427fda8b64f189cecbd2ef060e23,4 - Goran Ivanisevic ( Croatia ) vs. Andrei Chesnokov ( Russia ),"[""Andrei Chesnokov"" ""Russia""]",has nationality,,
0374427fda8b64f189cecbd2ef09f58c,"Second-ranked Austrian Thomas Muster , who was seeded third , did not have the luck of the draw with him .","[""Thomas Muster"" ""Austrian""]",has nationality,,
0374427fda8b64f189cecbd2ef06e85c,Stefan Edberg ( Sweden ) vs. 5 - Richard Krajicek ( Netherlands ),"[""Richard Krajicek"" ""Netherlands""]",has nationality,,
0374427fda8b64f189cecbd2ef096134,"( Sweden ) , Marcus Wills , Pedro Linhart ( Spain ) , Jamie Spence , Terry Price ( Australia ) , Juan Carlos Pinero ( Spain ) ,","[""Pedro Linhart"" ""Spain""]",has nationality,,
0374427fda8b64f189cecbd2ef0a009e,"If he survives , Muster is seeded to run into either fifth-seeded Wimbledon champion Richard Krajicek of the Netherlands or 12th-seeded American Todd Martin in the quarter-finals in Chang 's half of the draw .","[""Muster"" ""American""]",,,
0374427fda8b64f189cecbd2ef052ed1,Mark Woodforde ( Australia ) vs. Mark Philippoussis ( Australia ),"[""Mark Woodforde"" ""Australia""]",has nationality,,
0374427fda8b64f189cecbd2ef010b62,Palestinian officials accused right-wing Prime Minister Benjamin Netanyahu of trying to stop the Ramallah meeting by keeping Arafat grounded .,"[""Arafat"" ""Palestinian""]",,,
0374427fda8b64f189cecbd2ef0cfc2e,Bangladesh 's Criminal Investigation Department has charged two immigration officials in connection with Mia 's killing .,"[""Mia"" ""Bangladesh""]",lived in,,
0374427fda8b64f189cecbd2ef02562a,"( Sweden ) , Nick Faldo ( Britain ) , John Cook , Steve Jones , Phil Mickelson , Greg Norman ( Australia )","[""Phil Mickelson"" ""Sweden""]",,,
0374427fda8b64f189cecbd2ef0c23c4,"Bertram said Lauck was obsessed by Nazism and devoted his life to leading his National Socialist German Workers ' Party Foreign Organisation ( NSDAP-AO ) , which derives its name from the full German title of Hitler 's Nazi party .","[""Lauck"" ""Nazi""]",,,
0374427fda8b64f189cecbd2ef02c9b1,81 Seiki Okuda ( Japan ),"[""Seiki Okuda"" ""Japan""]",has nationality,,